,词频
赐予,2
讯号,2
隐在,2
夜半,2
云层,2
自禁,2
痴情,2
映照,2
伪装,2
潮湿,2
牵住,2
减半,2
路灯,2
心中,2
浅浅,2
所属,2
唯独,2
不管,2
眼见,2
角落里,2
发霉,2
腐烂,2
意兴,2
偏执,2
崎岖,2
踏步,2
平川,2
无尽,2
雨落,2
千万,2
江山,2
今生,2
风花雪月,2
理想,2
不安,2
行人,2
呼唤,2
倒映在,2
听不清,2
确定,2
沧海,2
年复一年,2
伤心,2
小窗,2
我明,2
高温,2
笔记,2
过滤,2
铭记,2
噪音,2
靠近,2
侵扰,2
微弱,2
风雪,2
困意,2
澄明,2
透过,2
玻璃,2
相见,2
红线,2
台阶,2
天算,2
脚跟,2
奢望,2
不敢高攀,2
强大,2
仰望,2
坚持,2
真实,2
苍茫,2
私藏,2
魂归,2
用爱,2
捆绑,2
太多话,2
凝寒,2
血落,2
饮剑,2
辞君,2
对手,2
含悲,2
四方,2
歌声,2
站稳,2
人算,2
一曲,2
十八弯,2
微微,2
失语,2
一个个,2
胡扯,2
假装,2
骄傲,2
坦荡,2
还要,2
态度,2
那座,2
度过,2
八十一,2
人生路,2
从此,2
发生,2
反转,2
背坡,2
后方,2
惨淡,2
剧情,2
最好,2
离乱,2
垓下,2
牵引,2
遍地,2
枫叶,2
独念,2
梦中,2
山水,2
褪下,2
抓不住,2
八月,2
尾巴,2
这么,2
云烟,2
喜字,2
贵贱,2
进入,2
定义,2
手中,2
余温,2
婚事,2
偏见,2
句句,2
疯癫,2
冷色调,2
等到,2
心慌,2
看剑,2
出卖,2
挑灯,2
醉里,2
彻夜,2
时代,2
西风,2
冷暖,2
杯中,2
君共饮,2
潸然,2
虞兮虞,2
诀别,2
此番,2
平天下,2
策马,2
长枪,2
出发,2
深刻,2
教会,2
欲盖弥彰,2
阳光,2
人太,2
日子,2
作假,2
红红,2
意义,2
折磨,2
河里,2
双眼,2
一年,2
治愈,2
by,2
办法,2
真话,2
没想到,2
伤害,2
很多,2
太快,2
扩散,2
关掉,2
怎么办,2
安全感,2
放肆,2
剥夺,2
每个,2
早该,2
角度,2
心冰得,2
自觉,2
获得,2
关心,2
煎熬,2
默数,2
变奏,2
同步,2
帮助,2
会笑,2
心思,2
有缘,2
陷入,2
步调,2
无处可逃,2
左向右,2
重新,2
撞个满怀,2
跳错,2
节拍,2
躲不开,2
立刻,2
通宵,2
某某,2
正午,2
期盼,2
裂开,2
傻傻的,2
Follow,2
Oh,2
蔷薇,2
强退,2
一层层,2
内心,2
忏悔,2
烟味,2
洗礼,2
stay,2
使命,2
装坏,2
算不算,2
变化,2
如梦初醒,2
两手空空,2
同样,2
留下,2
扰乱,2
时差,2
白发,2
纹身,2
自焚,2
午夜,2
一堆堆,2
上垒,2
那本,2
可乐,2
经不起,2
虚伪,2
讽刺,2
轻松,2
问候,2
闪动,2
滴落,2
你好,2
大脑,2
还给,2
找到,2
苹果,2
注销,2
耳机,2
封锁,2
衣袖,2
恍然大悟,2
喉咙,2
卡住,2
那次,2
答复,2
move,2
备注,2
刺穿,2
缠绵悱恻,2
单丝不成线,2
流浪,2
脚步声,2
长廊,2
高山流水,2
佳人,2
远乡,2
天地,2
轰的一声,2
歌写,2
我們,2
悠长,2
飞机,2
池塘,2
爆珠,2
飘转,2
树叶,2
滚蛋,2
晨昏,2
一片片,2
疤痕,2
牵着手,2
归根,2
叫嚷,2
灯一亮,2
当成,2
特别,2
夜里,2
从不,2
泪水,2
个人,2
原因,2
心头,2
散场,2
人为,2
想象,2
大步,2
晴朗,2
走来,2
远光,2
旋转,2
飞驰,2
几帧,2
怎样,2
闪过,2
空荡,2
无人,2
命运,2
冷战,2
脸红,2
夜夜,2
可爱,2
邀请,2
绝不,2
舞动,2
会长,2
衣裳,2
买不起,2
女郎,2
海边,2
难忘,2
do,2
磨合,2
脸庞,2
和秀场,2
芒果,2
倾塌,2
大厦,2
夜风,2
头发,2
吹拂,2
玫瑰色,2
晚霞,2
容易,2
以前,2
说声,2
尽全力,2
保持沉默,2
两散,2
每句,2
初见,2
画面,2
脑中,2
烙印,2
点缀,2
感动,2
点亮,2
在我心中,2
可笑,2
誓言,2
彩虹,2
多种,2
脆弱,2
赤裸裸,2
前进,2
承诺,2
背影,2
考验,2
话语,2
溜走,2
盆栽,2
刺激,2
距离,2
跳入,2
侧脸,2
不及,2
闯入,2
安好,2
手掌,2
理解,2
自拔,2
怀抱,2
何方,2
不明,2
make,2
听到,2
心情,2
飞过,2
孤岛,2
天涯海角,2
寻找,2
黑黑的,2
掩护,2
赴汤蹈火,2
甘愿,2
摆脱,2
做些,2
逞强,2
硬币,2
愈合,2
show,2
回家,2
雨伞,2
that,2
总会,2
点点滴滴,2
随缘,2
die,2
存在,2
初识,2
行走,2
意外,2
time,2
加热,2
白白的,2
lonely,2
hate,2
汽水,2
再次,2
不行,2
黄色,2
依旧,2
蓝蓝的,2
星屑,2
弥漫着,2
事情,2
看不见,2
紫色,2
葡萄,2
一根,2
香蕉,2
橙色,2
一颗,2
我用,2
but,2
心痛,2
终成空,2
系统,2
凌晨,2
看清,2
我要,2
其中,2
沉溺于,2
绿叶子,2
倾斜,1
温热,1
对象,1
饭团,1
围墙,1
离得,1
过期,1
度假,1
默默,1
吹动,1
慌忙,1
四周,1
干涸,1
坎坷,1
痛彻,1
毕竟,1
深爱着,1
当想,1
尝着,1
入口,1
三十秒,1
往回,1
看不清楚,1
装模作样,1
剧场,1
有人,1
泪滴,1
渺小,1
一整夜,1
一瓣,1
荒原,1
名义,1
心绪,1
机场,1
打烊,1
照射到,1
昏黄,1
nightmare,1
微笑,1
从头,1
日光,1
击中,1
倾盆,1
雪夜,1
别忘了,1
身体,1
天似,1
落花,1
旅程,1
海深,1
轻粉,1
清冷,1
冬雪,1
仍念记,1
昙花一现,1
下雪,1
沦陷,1
流完,1
挑剔,1
放掉,1
苦涩,1
整条,1
独特,1
一粒,1
晴天,1
海盐,1
擦肩,1
保质期,1
指向,1
很长,1
故意,1
碰翻,1
改变,1
零钱,1
叮当响,1
冬天,1
过夜,1
光划,1
泪看,1
打着,1
照不亮,1
地球,1
不好不坏,1
偶然,1
发芽,1
巷尾,1
风化,1
分開,1
落地,1
台下,1
打轉,1
结疤,1
这道,1
不见不散,1
咽喉,1
還在,1
糾纏,1
公交站,1
香味,1
满园,1
生根,1
殘留,1
送给,1
上次,1
腐爛,1
煙灰缸,1
童年,1
以後別,1
百樂煙,1
回憶,1
星座,1
信息,1
发给你,1
从来不,1
硬座,1
小时,1
八个,1
病过,1
发烧,1
没信,1
不合,1
房门,1
終點,1
醉倒在,1
第二天,1
半价,1
第二杯,1
一點點,1
试着,1
西元前,1
愛在,1
一人,1
最後只,1
便当,1
承諾,1
概率,1
爱错,1
穷尽,1
随时,1
几段,1
温馨,1
爱是,1
诳言,1
妄语,1
迷人,1
摇曳,1
灵魂,1
或爱成,1
熬过,1
此生,1
天气预报,1
晨雾,1
风沙,1
咽下,1
乌鸦,1
多嘴,1
呼吸,1
别管,1
雾化,1
代价,1
攻略,1
燒焦,1
那根,1
兩斷,1
那场,1
一刀,1
背景音乐,1
兩半,1
煙分,1
勾住,1
红了脸,1
找零,1
拖延,1
漏出,1
火花,1
音乐,1
做好,1
展开,1
開濾,1
交織,1
愛恨,1
裝進,1
撒娇,1
怀里,1
思緒,1
恻隐,1
过程,1
指令,1
哪肯,1
丢弃,1
假冒,1
糟糕,1
同效,1
混淆,1
痛楚,1
强加于,1
领悟,1
靠窗,1
飞远,1
任鸟,1
禁锢,1
枷锁,1
沸腾,1
叮嘱,1
灰烬,1
废土,1
烧焦,1
标本,1
溺爱,1
跳跃,1
环绕,1
紧扣,1
眉语,1
读懂,1
止痛药,1
反应,1
痛苦,1
楚河,1
不知深浅,1
无用,1
难眠,1
监牢,1
勇气,1
flying,1
海市蜃楼,1
随意,1
传出,1
Love,1
潦草,1
坦率,1
风轻云淡,1
聚散,1
沧桑,1
乱世,1
红颜,1
长叹,1
巨鹿,1
踏破,1
秦关,1
兵戈,1
血染,1
终究,1
景秀,1
太痛,1
密码,1
抱紧,1
禁止,1
不可一世,1
旧床,1
卧室,1
自尊,1
离远些,1
没事,1
伤痕,1
装作,1
说辞,1
适合,1
藏匿,1
台词,1
觉悟,1
得太迟,1
好歹,1
嘲笑,1
失败者,1
揭旧,1
眼睁睁,1
放手,1
No,1
在于,1
牵强,1
终老,1
真心话,1
仁慈,1
高尚,1
清早,1
悲伤,1
汉兵,1
刀剑,1
纷乱,1
折断,1
江畔,1
只身,1
where,1
scars,1
name,1
Your,1
穿过,1
凹进,1
披上,1
为止,1
外套,1
孤舟,1
思量,1
生共,1
山高水长,1
墓坑,1
和平,1
两人,1
潜意识,1
登录号,1
输错,1
风雅,1
粉色,1
雪里,1
长冬,1
唱首歌,1
眉间,1
飘进,1
樱落,1
冷清,1
热茶,1
放任,1
辗转,1
胆怯,1
旧名,1
时刻,1
世上,1
低语,1
初灯,1
丘比特,1
附近,1
巷口,1
城南,1
春光,1
唤醒,1
衣角,1
风中来,1
错置,1
坚定,1
一朵花,1
促进,1
一笺,1
半生,1
雪下,1
似金,1
倾心,1
回来,1
春色,1
回身,1
风中,1
开时,1
夜未,1
一盏,1
太浅,1
长河,1
遗下,1
旧词,1
桥头,1
荷尔蒙,1
红伞落,1
春雪,1
散心,1
仍然,1
旧梦,1
尽头,1
长街,1
初生,1
使劲,1
徒劳,1
拉开,1
and,1
天意,1
龙卷风,1
那里,1
整洁,1
胜过,1
触及,1
陈列,1
角落,1
积攒,1
心知肚明,1
钢印,1
感应,1
标签,1
锦上添花,1
纪念品,1
退不回,1
欣赏,1
奇怪,1
清理,1
缓存,1
立场,1
默认,1
提示,1
举动,1
无动于衷,1
now,1
嫌弃,1
紧紧,1
未尽,1
睁眼,1
心愿,1
枝头,1
未融,1
白雪,1
固定,1
分隔,1
微波炉,1
痴心,1
旧日,1
如泪,1
It,1
另一面,1
如愿,1
再聚,1
回味,1
choose,1
Pleasedon,1
戳穿,1
完毕,1
散发出,1
盛宴,1
热气,1
音容,1
年纪,1
im,1
陷阱,1
承受不住,1
不知,1
写给,1
rain,1
抚摸,1
everything,1
戏精,1
太烂,1
演技,1
巨星,1
窒息,1
触碰,1
微凉,1
骗过,1
成空,1
晨光,1
宿命,1
峰回路转,1
仰着,1
三个,1
心事重重,1
显然,1
信号灯,1
没日没夜,1
指着,1
鼻子,1
极限,1
矫情,1
是我太,1
要领,1
教训,1
五体投地,1
两年,1
几天,1
生日,1
19,1
地点,1
到达,1
兄弟,1
风吹雨打,1
遍体鳞伤,1
随笔,1
写成,1
酸甜苦辣,1
倒下,1
有天,1
短短的,1
几分,1
squad,1
十字路口,1
鬓间,1
灵验,1
关系,1
暮色,1
对峙,1
理性,1
怎么回事,1
一种,1
下合,1
没存,1
遮住,1
客套,1
蹒跚,1
朋友,1
拨通,1
除了,1
想得到,1
床头,1
常常,1
失眠,1
几年,1
藏起,1
拥挤,1
画中,1
烟里,1
对视,1
挥发,1
繁星,1
金榜题名,1
许愿,1
见证,1
数不完,1
抚平,1
明暗,1
交杂,1
任性,1
一笑,1
石头,1
剪刀,1
不成,1
不满,1
复读生,1
自不量力,1
行色匆匆,1
生花,1
发行,1
出品,1
字幕,1
起灯,1
观众,1
半排,1
犯病,1
地狱,1
最痛,1
信心,1
真困,1
写歌,1
温润,1
品尝,1
再也不能,1
身份,1
过问,1
好友,1
犹豫,1
风险,1
体面,1
不禁,1
表演,1
吸引,1
万千,1
总有,1
消遣,1
这近,1
野蛮,1
就要,1
情怯,1
无可避免,1
长野,1
先生,1
生恨,1
欲言又止,1
万种风情,1
迈出,1
车站,1
前一刻,1
保证,1
手指,1
竖起,1
每秒钟,1
每分,1
陪你走,1
每晚,1
描述,1
更深,1
这洞,1
逃入,1
有空,1
相爱,1
寒冷,1
嘴角,1
解决,1
所以,1
残忍,1
柔软,1
could,1
bb,1
other,1
狂风暴雨,1
脉搏,1
超速,1
天明,1
anymore,1
still,1
though,1
sorry,1
同时,1
宁愿,1
有恃无恐,1
冲散,1
揣度,1
阴影,1
停驻,1
而已,1
光照,1
幽静,1
半夜里,1
icant,1
easy,1
承受,1
继续,1
目的,1
交错,1
aint,1
aside,1
there,1
虽然,1
pictures,1
of,1
out,1
只求,1
天平,1
pay,1
趁现在,1
pricetag,1
keep,1
喜怒哀乐,1
不要脸,1
鬼怪,1
归来,1
恰同燕,1
退败,1
白纸,1
追怀,1
开火,1
携带者,1
病毒,1
刮过,1
一阵风,1
低着头,1
感叹,1
敞着,1
一扇门,1
狼狈,1
陨落,1
迷朦,1
执念,1
仅剩,1
作痛,1
悄悄,1
麻醉,1
谁又能,1
长存,1
差别,1
陌生人,1
打碎,1
抱歉,1
没人教,1
Memories,1
逃不出,1
迷宫,1
我输,1
承认,1
变慢,1
当作,1
关键,1
破坏,1
光影,1
秒速,1
厘米,1
以五,1
miss,1
着陆,1
漂浮,1
云朵,1
心随,1
不得不,1
辨认,1
犹豫不决,1
忽略,1
处于,1
低谷,1
意识,1
遗落,1
而言,1
不住,1
挽留,1
删除,1
促使,1
替代,1
那刻,1
错乱,1
散落,1
好多,1
那位,1
几张,1
田里,1
每夜,1
掩埋,1
统统,1
暖光,1
美丽,1
一堆,1
无力,1
没人能,1
中浮过,1
困惑,1
活在,1
飞扬,1
涟漪,1
泛起,1
浸湿,1
控制,1
丢掉,1
别人,1
花言巧语,1
精彩,1
笑声,1
捡起,1
红豆,1
齐眉,1
举案,1
矢志不渝,1
它亮,1
有才无命,1
有嘴无心,1
好看,1
工整,1
落款,1
一首歌,1
无心,1
back,1
寄托,1
晚睡,1
动力,1
多爱,1
心声,1
袒露,1
Baby,1
所有人,1
往前走,1
雨里,1
傍晚,1
支圆舞,1
有时候,1
对面,1
大不了,1
街道,1
无条件,1
身来,1
抽不出,1
投入,1
活该,1
崩坏,1
随口,1
兑现,1
淋个,1
摧毁,1
逛过,1
goodbye,1
goodnight,1
堆叠,1
说谎,1
全身,1
却说,1
几点,1
闹钟,1
别说,1
以爱之名,1
交织,1
分叉,1
手环,1
我别,1
别扭,1
泪流,1
街口,1
沉醉于,1
操场,1
自习,1
学校,1
儿时,1
偶然间,1
小巷,1
连同,1
行踪不明,1
无谓,1
十七岁,1
肩头,1
终将,1
陌生,1
挂念,1
导致,1
小事,1
一件,1
分不出,1
噩梦,1
渡过难关,1
下着雨,1
旁边,1
睡不着,1
唾沫,1
过客,1
深知,1
超级,1
时分,1
半夜,1
挫折,1
脑子,1
颠倒,1
心碎,1
更好,1
这么晚,1
种种,1
重叠,1
轮廓,1
牵手,1
影子,1
表白,1
快点,1
振作,1
树洞,1
垃圾桶,1
梦见,1
沉醉,1
万年,1
昨天,1
化为,1
不知不觉,1
而学,1
绝症,1
情歌,1
睁开,1
想闭,1
天气,1
播放列表,1
一眨眼,1
几位,1
现状,1
亲密,1
照片,1
留言,1
冰柜,1
心锁,1
起跑点,1
目的地,1
扔进,1
一些,1
必要,1
纠结,1
右岸,1
骤降,1
长夜,1
零下,1
波澜,1
勾起,1
过半,1
计划,1
作罢,1
收下,1
猜疑,1
放晴,1
只会,1
风铃,1
崩溃,1
约定,1
脚印,1
覆盖,1
轻轻,1
放着,1
耳边,1
门外,1
失望,1
沉底,1
吞淹,1
我迎,1
装点,1
埋藏,1
聆听,1
划过,1
degrees,1
孤苦伶仃,1
必经,1
分清,1
自知之明,1
学懂,1
跌落,1
系尼座,1
希冀,1
梦魇,1
几多,1
承载,1
凝结,1
吹过,1
声息,1
雪花,1
别去,1
揭穿,1
冰川,1
无际,1
柔和,1
小姑娘,1
捉迷藏,1
贯穿,1
当时,1
内容,1
后面,1
完结,1
珍藏,1
芬芳,1
一抹,1
带来,1
穿越,1
一定,1
失败,1
追赶,1
亲口说,1
涂满,1
空白,1
邮戳,1
没盖,1
列车,1
倒退,1
远离,1
朝着,1
它们,1
歌里,1
对白,1
微风,1
闪躲,1
棉花,1
软绵绵,1
由始至终,1
选择权,1
流够,1
结尾,1
作为,1
纪念,1
太多太多,1
奢求,1
天上,1
中央,1
起航,1
深藏,1
咋样,1
有时,1
限制,1
所谓,1
shawty,1
its,1
freaking,1
heartache,1
要点,1
先算,1
出格,1
自知,1
笔写,1
写过,1
功课,1
必须,1
进步,1
自傲,1
歧视,1
周边,1
料到,1
轻重,1
警告,1
天赋,1
出歌,1
残暴,1
结果,1
battle,1
level,1
未到,1
来讲,1
难度,1
澄清,1
甲乙丙丁,1
拒绝,1
资本,1
竟然,1
欢笑,1
绝对,1
沉溺,1
淡定,1
梦境,1
仿佛,1
回顾,1
一帧,1
既网,1
编织,1
burning,1
播放,1
不厚,1
录像机,1
好似,1
经历,1
克服,1
冲动,1
屈膝,1
分别,1
意见,1
看不透,1
年少时,1
明星,1
太多人,1
分裂,1
留恋,1
一世,1
平凡,1
注定,1
清算,1
甘心,1
有分寸,1
做人,1
分段,1
根源,1
匿迹,1
我仲未,1
出身,1
渐远,1
渐行,1
